curriculum_vocab_id,curriculum_word,curriculum_version,master_word,cefr,freq_rank,freq_grade,meaning_ko,match_type
1839,A,2015,A,A1,6,고빈도,에이 (알파벳),exact
2053,B,2015,,,,,,none
2224,C,2015,,,,,,none
2546,D,2015,,,,,,none
2731,E,2015,,,,,,none
2872,F,2015,,,,,,none
3024,G,2015,,,,,,none
3112,H,2015,,,,,,none
3201,I,2015,I,A1,3,고빈도,"나, 저",exact
3314,J,2015,,,,,,none
3335,K,2015,,,,,,none
3351,L,2015,,,,,,none
3445,M,2015,,,,,,none
3576,N,2015,,,,,,none
3642,O,2015,,,,,,none
3710,P,2015,,,,,,none
3943,Q,2015,,,,,,none
3956,R,2015,,,,,,none
4114,S,2015,,,,,,none
4451,T,2015,,,,,,none
4610,U,2015,,,,,,none
4642,V,2015,,,,,,none
4689,W,2015,,,,,,none
4783,Y,2015,,,,,,none
4792,Z,2015,,,,,,none
1840,abandon,2015,Abandon,B1,1669,고빈도,"버리다, 포기하다",exact
1841,able,2015,Able,A1,200,고빈도,할 수 있는,exact
1842,aboard,2015,Aboard,A2,3500,중빈도,"승선하여, 탑승하여",exact
1843,abort,2015,Abort,B2,4000,중빈도,"중단하다, 낙태하다",exact
1844,about,2015,About,A1,50,고빈도,"약 ~에 대하여, 거의, 대략",exact
1845,above,2015,Above,A1,200,고빈도,위에,exact
1846,abroad,2015,Abroad,A2,1500,중빈도,"해외로, 외국에",exact
1847,absent,2015,Absent,A2,1800,중빈도,"결석한, 없는",exact
1848,absolute,2015,Absolute,B1,1200,중빈도,"절대적인, 완전한",exact
1849,absorb,2015,Absorb,B1,1880,중빈도,흡수하다,exact
1850,abstract,2015,Abstract,B1,1500,중빈도,"추상적인, 관념적인",exact
1851,absurd,2015,absurd,B2,8654,중빈도,"터무니없는, 불합리한",exact
1852,abundant,2015,Abundant,B1,2000,중빈도,"풍부한, 많은",exact
1853,abuse,2015,Abuse,B1,1800,중빈도,"학대, 남용",exact
1854,academy,2015,Academy,A2,2500,중빈도,"학원, 아카데미",exact
1855,accelerate,2015,Accelerate,B1,2323,중빈도,가속하다,exact
1856,accent,2015,Accent,A2,2800,중빈도,"억양, 사투리",exact
1857,accept,2015,Accept,A2,2452,고빈도,받아들이다,exact
1858,access,2015,Access,B1,7541,중빈도,접근하다,exact
1859,accident,2015,Accident,A1,800,고빈도,사고,exact
1860,accommodate,2015,Accommodate,B1,2200,중빈도,"수용하다, 숙박시키다",exact
1861,accompany,2015,Accompany,B1,2500,중빈도,"동행하다, 반주하다",exact
1862,accomplish,2015,Accomplish,B1,1825,중빈도,성취하다,exact
1863,accord,2015,Accord,B1,3500,중빈도,"합의, 협정, 일치",exact
1864,account,2015,Account,A2,200,고빈도,"계좌, 설명, 이야기",exact
1865,accumulate,2015,Accumulate,C1,4164,중빈도,축적하다,exact
1866,accurate,2015,Accurate,B1,1790,고빈도,정확한,exact
1867,accuse,2015,Accuse,B1,3205,중빈도,고발하다,exact
1868,achieve,2015,Achieve,A2,1601,고빈도,"달성하다, 성취하다",exact
1869,acid,2015,Acid,A2,3000,중빈도,산,exact
1870,acknowledge,2015,Acknowledge,B1,1726,중빈도,인정하다,exact
1871,acquaint,2015,,,,,,none
1872,acquire,2015,Acquire,B2,3569,중빈도,획득하다,exact
1873,acquisition,2015,Acquisition,B1,1569,중빈도,"습득, 취득; 인수",exact
1874,across,2015,Across,A1,200,고빈도,"~을 가로질러, 건너서",exact
1875,act,2015,Act,A2,4092,최고빈도,연기하다,exact
1876,activate,2015,Activate,B1,5391,중빈도,활성화하다,exact
1877,actual,2015,Actual,A2,1200,중빈도,"실제의, 진짜의",exact
1878,acute,2015,Acute,B2,4800,중빈도,"심각한, 격렬한, 예리한",exact
1879,adapt,2015,Adapt,B1,2544,중빈도,적응시키다,exact
1880,add,2015,Add,A2,2398,고빈도,더하다,exact
1881,addict,2015,Addict,B1,3000,중빈도,중독자,exact
1882,address,2015,Address,B1,2570,중빈도,다루다,exact
1883,adequate,2015,Adequate,B1,2500,중빈도,"충분한, 적절한",exact
1884,adjust,2015,Adjust,B1,2383,중빈도,조정하다,exact
1885,administer,2015,Administer,B2,3346,중빈도,관리하다,exact
1886,admire,2015,Admire,B1,3533,고빈도,감탄하다,exact
1887,admission,2015,Admission,A2,1200,중빈도,"입장, 입학, 인정",exact
1888,admit,2015,Admit,B1,2666,중빈도,인정하다,exact
1889,adolescent,2015,Adolescent,B1,2500,중빈도,청소년,exact
1890,adopt,2015,Adopt,A2,900,중빈도,"입양하다, 채택하다",exact
1891,adult,2015,Adult,A1,1625,고빈도,성인,exact
1892,advance,2015,Advance,B1,2547,중빈도,나아가다,exact
1893,advantage,2015,Advantage,A2,456,고빈도,"이점, 장점",exact
1894,adventure,2015,Adventure,A1,789,고빈도,모험,exact
1895,adverse,2015,adverse,B2,8656,중빈도,"불리한, 해로운",exact
1896,advise,2015,Advise,B1,2984,중빈도,조언하다,exact
1897,advocate,2015,Advocate,C1,4178,중빈도,옹호하다,exact
1898,aesthetic,2015,aesthetic,B2,8657,중빈도,"미적인, 심미적인",exact
1899,affair,2015,Affair,B1,1646,고빈도,"일, 사건",exact
1900,affect,2015,Affect,B1,2991,중빈도,영향을 미치다,exact
1901,affection,2015,Affection,B1,2500,중빈도,"애정, 애착",exact
1902,affiliate,2015,Affiliate,B2,3500,중빈도,"제휴하다, 가입하다",exact
1903,afford,2015,Afford,A2,2492,고빈도,여유가 있다,exact
1904,afraid,2015,Afraid,A1,300,고빈도,"두려워하는, 무서워하는",exact
1905,after,2015,After,A1,50,고빈도,"후에, 다음에",exact
1906,afternoon,2015,Afternoon,A1,200,고빈도,오후,exact
1907,again,2015,Again,A1,100,고빈도,"다시, 또",exact
1908,against,2015,Against,A2,200,고빈도,"~에 반대하여, ~에 기대어",exact
1909,age,2015,Age,B1,4377,최고빈도,나이들다,exact
1910,agency,2015,Agency,B1,1500,중빈도,"대행사, 기관",exact
1911,agenda,2015,Agenda,B1,2000,중빈도,"의제, 안건",exact
1912,agent,2015,Agent,A2,800,중빈도,"대리인, 요원",exact
1913,aggressive,2015,Aggressive,B1,1200,중빈도,"공격적인, 적극적인",exact
1914,ago,2015,Ago,A1,200,고빈도,~전에,exact
1915,agree,2015,Agree,A2,2454,고빈도,동의하다,exact
1916,agriculture,2015,Agriculture,B1,2800,중빈도,농업,exact
1917,ahead,2015,Ahead,A1,400,고빈도,"앞에, 앞으로",exact
1918,aid,2015,Aid,B1,3558,고빈도,돕다,exact
1919,aim,2015,Aim,A2,4748,중빈도,목표로하다,exact
1920,air,2015,Air,A1,50,고빈도,공기,exact
1921,aircraft,2015,Aircraft,A2,3800,중빈도,항공기,exact
1922,airline,2015,Airline,A1,900,고빈도,항공사,exact
1923,airport,2015,Airport,A1,900,고빈도,공항,exact
1924,aisle,2015,Aisle,A2,3000,중빈도,통로,exact
1925,alert,2015,Alert,B1,4548,중빈도,경보하다,exact
1926,alien,2015,Alien,A2,2500,중빈도,"외국의, 이질적인",exact
1927,alike,2015,Alike,A2,2800,중빈도,"똑같이, 마찬가지로",exact
1928,alive,2015,Alive,A1,900,고빈도,"살아있는, 생생한",exact
1929,all,2015,All,A1,20,고빈도,"모든, 전부",exact
1930,allocate,2015,Allocate,B2,3305,중빈도,할당하다,exact
1931,allow,2015,Allow,A2,2940,고빈도,허락하다,exact
1932,ally,2015,Ally,B1,2500,중빈도,"동맹국, 협력자",exact
1933,almost,2015,Almost,A1,200,고빈도,거의,exact
1934,alone,2015,Alone,A1,300,고빈도,"혼자서, 홀로",exact
1935,along,2015,Along,A1,150,고빈도,"~을 따라서, ~와 함께",exact
1936,alongside,2015,Alongside,A2,3000,중빈도,"~옆에, 나란히",exact
1937,aloud,2015,Aloud,A1,3500,중빈도,소리 내어,exact
1938,already,2015,Already,A1,200,고빈도,"이미, 벌써",exact
1939,alright,2015,Alright,A1,900,고빈도,"좋아, 괜찮아",exact
1940,also,2015,Also,A1,50,고빈도,"또한, 역시",exact
1941,alter,2015,Alter,B2,4369,고빈도,바꾸다,exact
1942,alternative,2015,Alternative,B1,1800,중빈도,"대안, 선택 사항",exact
1943,although,2015,Although,A2,80,고빈도,"비록 ~이지만, ~에도 불구하고",exact
1944,altogether,2015,Altogether,A2,600,고빈도,"완전히, 전부",exact
1945,always,2015,Always,A1,10,고빈도,"항상, 언제나",exact
