standard_id,standard_id_norm,curriculum_version,grade_band,grade_level,subject_code,subject_name_ko,domain_code,domain_name_ko,standard_text_ko,standard_text_en,cognitive_level,cefr_alignment,communication_function,grammar_elements,text_type,topic_tags,target_vocab_level,source_document,source_page,effective_date,verification_status,last_verified,notes
[4영01-01],2015_4영01_01,2015,elementary,3-4,2015_ENG_E,영어,L,듣기,알파벳과 낱말의 소리를 듣고 식별할 수 있다.,,remember,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
[4영01-02],2015_4영01_02,2015,elementary,3-4,2015_ENG_E,영어,L,듣기,"낱말, 어구, 문장을 듣고 강세, 리듬, 억양을 식별할 수 있다.",,remember,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
[4영01-03],2015_4영01_03,2015,elementary,3-4,2015_ENG_E,영어,L,듣기,"기초적인 낱말, 어구, 문장을 듣고 의미를 이해할 수 있다.",,understand,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
[4영01-04],2015_4영01_04,2015,elementary,3-4,2015_ENG_E,영어,L,듣기,쉽고 친숙한 표현을 듣고 의미를 이해할 수 있다.,,understand,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
[4영01-05],2015_4영01_05,2015,elementary,3-4,2015_ENG_E,영어,L,듣기,한두 문장의 쉽고 간단한 지시나 설명을 듣고 이해할 수 있다.,,understand,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
[4영01-06],2015_4영01_06,2015,elementary,3-4,2015_ENG_E,영어,L,듣기,주변의 사물과 사람에 관한 쉽고 간단한 말이나 대화를 듣고 세부 정보를 파악할 수 있다.,,understand,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
[4영01-07],2015_4영01_07,2015,elementary,3-4,2015_ENG_E,영어,L,듣기,일상생활 속의 친숙한 주제에 관한 쉽고 간단한 말이나 대화를 듣고 세부 정보를 파악할 수 있다.,,understand,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
[4영02-01],2015_4영02_01,2015,elementary,3-4,2015_ENG_E,영어,S,말하기,알파벳과 낱말의 소리를 듣고 따라 말할 수 있다.,,apply,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
[4영02-02],2015_4영02_02,2015,elementary,3-4,2015_ENG_E,영어,S,말하기,"영어의 강세, 리듬, 억양에 맞게 따라 말할 수 있다.",,apply,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
[4영02-03],2015_4영02_03,2015,elementary,3-4,2015_ENG_E,영어,S,말하기,"그림, 실물, 동작에 관해 쉽고 간단한 낱말이나 어구, 문장으로 표현할 수 있다.",,apply,A1,,,,,basic_500,교육부 고시 제2015-74호 [별책14] 영어과 교육과정,,2018-03-01,verified,2026-04-06,PDF 원문(교육부 고시 제2015-74호 별책14) 대조 완료
